ticker,company,status,buckets,first_detected,last_checked,last_alert_sent,price_at_first_flag,latest_price,latest_price_timestamp,price_change_since_first_flag,trigger_reason,opportunity_thesis,valuation_snapshot,fundamental_snapshot,news_catalyst,main_risks,fast_trigger_score,deep_conviction_score,cooldown_until,next_review_date,user_decision,notes,source_links
AMAT,Applied Materials,Deep Review,"Semiconductor equipment; advanced packaging; AI infrastructure",2026-05-19,2026-05-19,,413.57,413.57,2026-05-19,0%,"Recent pullback despite raised AI-driven growth outlook and strong earnings/guidance","Core semiconductor equipment supplier leveraged to AI fab expansion advanced packaging and sustained hyperscaler capex","Valuation improved after pullback but not yet deeply discounted after major rerating","Revenue EPS and guidance exceeded expectations; management expects >30% semiconductor equipment growth and >50% packaging growth in 2026","AI infrastructure buildout and advanced-packaging demand continue strengthening","China/export-control exposure; semicap cyclicality; AI capex slowdown",74,73,2026-05-26,2026-05-26,Pending,"Most attractive semicap setup currently monitored but still below high-conviction buy threshold","Reuters 2026-05-14; WSJ 2026-05-15; MarketWatch 2026-05-19"
VRT,Vertiv,Deep Review,"AI cooling; data-centre power; thermal management",2026-05-18,2026-05-18,,337.62,337.62,2026-05-18T15:24Z,0%,"Approx. 9% same-day pullback while AI cooling and data-centre power thesis remains relevant","AI data centres need power management cooling thermal systems and deployment infrastructure","Needs updated forward valuation review; not upgraded because valuation may remain demanding","Thesis relevant but latest earnings backlog margins and guidance need review","AI infrastructure pullback across power cooling grid optical and storage names","Crowded AI infrastructure trade; valuation compression may continue",72,70,2026-05-25,2026-05-25,Pending,"Strongest single-name Deep Review candidate from 2026-05-18 visible run","ChatGPT 2026-05-18 full visible multi-task run; Alpaca IEX snapshot"
CEG,Constellation Energy,Deep Review,"AI power; nuclear; grid; data-centre electricity",2026-05-14,2026-05-18,,260.73,260.73,2026-05-18T15:24Z,0%,"Continued pullback in strategic AI-power and nuclear name","CEG remains linked to AI power bottleneck through nuclear generation data-centre electricity demand and grid scarcity","Needs updated valuation review versus revised earnings power and historical range","Thesis intact but latest earnings guidance review needed","AI power and data-centre electricity demand remain structurally important","Market may already price much of AI-power upside; regulatory execution and valuation risks remain",68,68,2026-05-25,2026-05-25,Pending,"Maintained as Deep Review; no buy-now alert","ChatGPT 2026-05-18 full visible multi-task run; Alpaca IEX snapshot"
QCOM,Qualcomm,Deep Review,"AI compute; semiconductors; edge AI; automotive chips; connectivity",2026-05-14,2026-05-18,,196.37,196.37,2026-05-18T15:24Z,0%,"Prior Deep Review candidate; no escalation because no fresh high-conviction dislocation","Potential long-term relevance through edge AI mobile AI automotive chips connectivity and possible data-centre silicon","Needs updated valuation comparison versus 3-5 year history","Handset-cycle Apple exposure and execution risks unresolved","Edge AI devices automotive connectivity and custom silicon optionality","Handset weakness Apple exposure memory constraints and execution risk around AI ambitions",62,64,2026-05-25,2026-05-25,Pending,"Restored because prior intended CEG/QCOM entries were missing from fetched repo state","ChatGPT 2026-05-18 full visible multi-task run; Alpaca IEX snapshot"
CRDO,Credo Technology Group,Deep Review,"AI networking; optical/interconnect; data-centre connectivity",2026-05-18,2026-05-18,,155.70,155.70,2026-05-18T15:24Z,0%,"Approx. 9-10% same-day pullback across AI networking and optical names","AI clusters need high-speed networking optical links and interconnect infrastructure","Needs forward-growth and peer valuation comparison","Strategic relevance high but customer concentration margins and valuation quality need review","Broad pullback in AI optical networking and interconnect names","AI networking hype unwind; valuation may remain elevated",70,68,2026-05-25,2026-05-25,Pending,"Review alongside LITE and COHR as AI optical/networking bucket","ChatGPT 2026-05-18 full visible multi-task run; Alpaca IEX snapshot"
LITE,Lumentum,Deep Review,"AI networking; optical; interconnect",2026-05-18,2026-05-18,,876.00,876.00,2026-05-18T15:24Z,0%,"Approx. 9-10% same-day pullback across AI networking and optical names","AI infrastructure requires optical and connectivity upgrades","Needs forward-growth and cycle-aware valuation review","Cyclicality margin quality and customer concentration require review","Broad pullback in AI optical networking and interconnect names","Optical/networking names may be overextended; pullback may be valuation reset",70,67,2026-05-25,2026-05-25,Pending,"Review alongside CRDO and COHR as AI optical/networking bucket","ChatGPT 2026-05-18 full visible multi-task run; Alpaca IEX snapshot"
COHR,Coherent,Deep Review,"AI networking; optical; photonics; interconnect",2026-05-18,2026-05-18,,358.31,358.31,2026-05-18T15:24Z,0%,"Approx. 6% same-day pullback in AI optical/networking bucket","Exposure to optical photonics and connectivity technologies for AI data-centre buildout","Needs updated peer valuation and margin review","Relevant but balance-sheet margin and execution risk require review","Broad pullback in AI optical networking and interconnect names","Cyclical and execution risk; insufficient evidence current price is unusually attractive",66,64,2026-05-25,2026-05-25,Pending,"Review alongside CRDO and LITE as AI optical/networking bucket","ChatGPT 2026-05-18 full visible multi-task run; Alpaca IEX snapshot"
SNDK,SanDisk,Deep Review,"Storage; memory-adjacent infrastructure; AI data storage",2026-05-18,2026-05-18,,1318.51,1318.51,2026-05-18T15:24Z,0%,"Approx. 6% same-day pullback after large storage/memory rally","AI workloads increase demand for storage memory-adjacent infrastructure and data movement","Needs cycle-normalised valuation; simple P/E may mislead","Relevant thesis but stock may have already re-rated sharply","Broad pullback in storage and memory-adjacent winners","Cyclical valuation trap; post-rally profit taking may continue",68,65,2026-05-25,2026-05-25,Pending,"Review alongside WDC and STX as storage-cycle bucket","ChatGPT 2026-05-18 full visible multi-task run; Alpaca IEX snapshot"
WDC,Western Digital,Deep Review,"Storage; memory-adjacent infrastructure; AI data storage",2026-05-18,2026-05-18,,453.86,453.86,2026-05-18T15:24Z,0%,"Approx. 6% same-day pullback in storage bucket","Relevant to AI storage demand and data-growth infrastructure","Needs cycle-normalised valuation and peer comparison versus SNDK/STX","Strategic relevance exists but cyclicality and recent rerating require caution","Broad pullback in storage and memory-adjacent winners","Storage-cycle reversal or post-rally multiple compression",66,64,2026-05-25,2026-05-25,Pending,"Review alongside SNDK and STX as storage-cycle bucket","ChatGPT 2026-05-18 full visible multi-task run; Alpaca IEX snapshot"
STX,Seagate,Deep Review,"Storage; AI data storage; HDD infrastructure",2026-05-18,2026-05-18,,736.27,736.27,2026-05-18T15:24Z,0%,"Approx. 7% same-day pullback in storage bucket","Relevant to AI-scale storage demand if data growth and storage bottlenecks remain underappreciated","Needs cycle-normalised valuation and comparison versus WDC/SNDK","Strategic storage thesis relevant but cyclicality and recent rerating require caution","Broad pullback in storage and memory-adjacent winners","Storage-cycle earnings may be overstated or multiple may compress after rally",68,65,2026-05-25,2026-05-25,Pending,"Review alongside SNDK and WDC as storage-cycle bucket","ChatGPT 2026-05-18 full visible multi-task run; Alpaca IEX snapshot"
